,negative,positive,total
koeken,0,1,1
koffiekoeken,1,0,1
kofta,0,1,1
kohl,0,1,1
kohls,1,0,1
koi,1,1,2
koji,0,1,1
kojima,0,1,1
kok,2,3,5
kokomo,1,0,1
kol,1,3,4
kola,0,1,1
koli,1,0,1
kolkata,2,1,3
kollene,0,1,1
kolors,1,0,1
kom,1,0,1
komen,0,1,1
kommt,1,0,1
komodo,1,0,1
komp,0,1,1
kompis,1,0,1
komplain,0,1,1
komputer,1,0,1
kona,1,1,2
konar,1,0,1
kong,4,6,10
konser,0,1,1
konsuy,1,0,1
konw,0,1,1
koo,1,1,2
kooda,1,0,1
koogle,1,0,1
kooks,5,1,6
kooky,0,1,1
kool,10,18,28
koolaid,0,1,1
koolcatandwakey,0,1,1
koolin,1,0,1
koool,0,1,1
kooooool,0,1,1
kooza,0,1,1
kop,1,0,1
kopplookk,1,0,1
korar,0,1,1
korbe,0,1,1
kord,0,1,1
korea,4,6,10
korean,8,3,11
koreans,1,0,1
korg,0,1,1
korgath,0,1,1
korn,3,3,6
kors,0,1,1
kortnee,0,1,1
kose,0,1,1
kosher,4,0,4
kosherfail,1,0,1
kosme,1,0,1
kosovo,0,1,1
kot,1,2,3
kota,0,2,2
kotaku,0,2,2
kotek,0,1,1
koto,0,2,2
kotor,1,1,2
kotym,0,1,1
kouldnt,1,0,1
kousagi,1,0,1
kovu,0,1,1
kow,0,1,1
koxp,2,0,2
koz,1,0,1
kp,3,0,3
kpc,1,0,1
kph,1,0,1
kpn,1,0,1
kqs,1,0,1
kr,1,2,3
krakow,1,1,2
krall,0,1,1
krambles,0,1,1
krank,1,0,1
krasinski,0,1,1
kraut,1,1,2
krazy,2,0,2
kreactive,0,1,1
kream,0,2,2
kreme,5,4,9
kremes,1,0,1
kreyol,0,1,1
krijg,0,1,1
kripsy,0,1,1
kris,13,17,30
kriscut,0,1,1
kriselle,0,1,1
krisflyer,3,0,3
krishna,0,1,1
krisis,0,1,1
krispie,1,0,1
krispies,0,1,1
krisprolls,0,1,1
krispy,6,3,9
krista,0,1,1
kristel,1,0,1
kristen,8,7,15
kristi,1,2,3
kristian,2,1,3
kristie,1,1,2
kristin,4,2,6
kristina,1,0,1
kristine,0,1,1
kristis,1,0,1
kristofferson,1,0,1
kristy,2,1,3
krisy,0,1,1
krn,1,0,1
kroger,1,0,1
kroner,1,0,1
kroq,0,1,1
krub,2,0,2
krucial,1,0,1
krudd,1,0,1
krugman,0,1,1
krush,1,0,1
krwci,0,1,1
kryptik,1,0,1
krys,1,1,2
kryss,1,0,1
krystal,0,2,2
krystuhl,1,0,1
kryten,0,1,1
krzykee,1,0,1
ks,2,0,2
ksa,0,2,2
ksaying,0,1,1
ksc,1,0,1
kse,0,1,1
ksi,0,1,1
kstew,3,1,4
kstewart,0,1,1
kswizzle,1,0,1
kt,0,2,2
ktbpa,0,1,1
ktbsbpa,0,1,1
ktbspa,1,5,6
ktemu,0,1,1
kthanksbai,1,0,1
kthnx,1,1,2
kthnxbai,1,0,1
kthx,0,1,1
kthxbai,1,0,1
ktulu,0,1,1
ktv,1,0,1
ktymtrfngt,0,1,1
ku,3,1,4
kuai,0,1,1
kuala,0,2,2
kuan,1,0,1
kubotan,0,1,1
kuby,1,0,1
kuch,2,2,4
kud,1,0,1
kudasai,1,0,1
kudi,0,1,1
kudos,6,7,13
kudu,0,1,1
kugis,1,0,1
kuiken,0,1,1
kujhvc,1,0,1
kuliah,1,0,1
kult,1,0,1
kumar,1,1,2
kumbaya,1,0,1
kumble,2,0,2
kumo,1,0,1
kumon,1,1,2
kunal,0,1,1
kundero,1,0,1
kung,4,7,11
kuningan,0,1,1
kuntah,1,0,1
kupoley,0,1,1
kupono,0,2,2
kurang,0,3,3
kuri,1,0,1
kurt,1,0,1
kurtis,1,0,1
kus,0,2,2
kush,0,1,1
kuta,0,1,1
kutcher,0,4,4
kutcherized,0,1,1
kute,0,1,1
kutie,2,0,2
kutner,0,1,1
kuwaiti,1,0,1
kuya,1,5,6
kuyper,0,1,1
kuz,2,0,2
kv,0,1,1
kvetch,0,1,1
kwa,1,0,1
kwan,1,1,2
kwau,0,1,1
kwaz,1,0,1
kwek,2,0,2
kwento,2,2,4
kwentuhan,0,1,1
kwlio,0,1,1
kwod,1,3,4
kwokwokwo,0,1,1
kwon,2,0,2
kworth,1,0,1
kxi,0,1,1
ky,7,5,12
kya,1,5,6
kyknya,0,1,1
kyla,2,0,2
kyle,3,9,12
kylee,1,0,1
kyles,1,1,2
kylester,0,1,1
kylie,3,3,6
kyliebt,1,0,1
kyokyo,1,0,1
kyoot,1,0,1
kyra,1,0,1
kyras,1,0,1
kyte,7,1,8
kytemovies,1,0,1
kyuhyun,1,0,1
kz,0,1,1
kzoo,0,1,1
la,104,121,225
laa,0,3,3
laaaaaane,0,1,1
laaaaaave,1,0,1
laaaame,0,2,2
laaaate,0,1,1
laaaater,1,0,1
laaah,1,0,1
laaameee,1,0,1
laaammmeeee,1,0,1
laaater,1,0,1
laaavee,1,0,1
laan,1,0,1
laat,1,0,1
lab,11,10,21
labahin,1,0,1
label,7,2,9
labeled,1,2,3
labeling,1,0,1
labels,3,1,4
labelwriter,1,0,1
labeouf,3,0,3
labi,1,0,1
labor,3,4,7
laboratories,0,1,1
labour,6,2,8
labourers,0,2,2
labours,0,1,1
labradors,0,1,1
labron,1,1,2
labs,0,2,2
labyrinth,1,0,1
lac,0,1,1
lace,2,2,4
lacey,2,1,3
laceylynnwilliams,1,0,1
lach,0,1,1
lachen,1,0,1
lachey,1,0,1
lack,34,31,65
lacked,1,0,1
lackey,0,1,1
lacking,3,3,6
lackluster,1,0,1
lacks,2,2,4
laconica,1,0,1
lacroix,0,1,1
lacrosse,1,1,2
lactaid,1,1,2
lactation,1,0,1
lacto,1,0,1
lactose,0,2,2
lad,5,1,6
ladages,1,0,1
ladakh,0,1,1
ladder,0,2,2
ladders,1,0,1
ladeh,0,1,1
lades,1,0,1
ladie,0,1,1
ladies,39,56,95
ladiez,0,1,1
lads,2,1,3
lady,79,112,191
ladybirds,1,0,1
ladybug,1,0,1
ladygaga,2,0,2
ladygame,0,1,1
ladypoo,0,1,1
ladys,1,0,1
ladywood,1,0,1
laemelle,0,1,1
laertesgirl,1,0,1
lafd,1,0,1
laff,2,1,3
lafferty,0,1,1
laffing,1,0,1
lafilmfest,0,1,1
lafjlafndalkdsjagl,1,0,1
lag,3,5,8
lagann,1,0,1
lager,0,1,1
lagerfeld,2,0,2
lagged,2,0,2
lagging,0,1,1
laggy,1,0,1
laggyyy,0,1,1
lagi,1,1,2
lagias,0,1,1
lagniappe,1,0,1
lagos,1,0,1
lags,1,0,1
lagu,0,1,1
laguardia,1,0,1
laguna,0,2,2
lah,7,10,17
lahat,4,3,7
lahh,0,2,2
lahha,1,0,1
lahore,5,0,5
lai,0,1,1
laica,0,1,1
laicaaaa,0,1,1
laid,12,5,17
laida,1,0,1
laidley,1,0,1
lain,3,2,5
laina,1,0,1
laiter,0,1,1
laka,0,1,1
lake,19,19,38
lakefront,0,1,1
laker,9,6,15
lakerita,1,0,1
lakers,34,39,73
lakerz,1,0,1
lakes,1,2,3
lakeshow,1,0,1
lakewood,0,1,1
lakh,0,1,1
lakhs,0,2,2
laking,0,1,1
lakini,1,0,1
laksa,1,0,1
lal,1,1,2
lala,6,3,9
lalala,3,2,5
lalalaaaaa,1,0,1
lalalala,1,1,2
lalalalala,1,0,1
lalalauren,1,0,1
lalalove,0,1,1
lalas,0,3,3
laleewan,1,0,1
lalloo,1,0,1
lalo,1,0,1
lalung,0,1,1
lam,2,1,3
lama,4,1,5
lamahh,1,0,1
lamb,10,9,19
lambert,9,3,12
lamberts,0,1,1
lambeth,0,1,1
lambo,1,0,1
lambrini,0,1,1
lambrusco,0,1,1
lambs,1,2,3
lamby,1,0,1
lame,66,94,160
lameeee,0,1,1
lameness,1,0,1
lamenta,0,1,1
lamenting,3,2,5
lameover,1,0,1
lamer,1,1,2
lamesauce,1,1,2
lameskis,0,1,1
lamest,0,1,1
lamey,0,1,1
lammmeeee,1,0,1
lammmmee,0,1,1
lammmmeee,1,0,1
lamo,1,0,1
lamontagne,0,1,1
lamp,1,2,3
lampard,1,0,1
lampoons,1,0,1
lampss,1,0,1
lampwork,0,1,1
lamu,1,0,1
lan,4,2,6
lana,0,1,1
lancaster,4,2,6
lance,1,3,4
lancearmstrong,1,0,1
lancer,1,0,1
land,24,28,52
landed,6,7,13
landi,1,0,1
landin,1,0,1
landing,3,5,8
landings,1,1,2
landlocked,1,1,2
landlord,2,3,5
landmark,1,0,1
lando,1,0,1
lands,2,0,2
landscape,3,1,4
landscapes,0,1,1
landslide,0,2,2
lane,3,4,7
lanes,2,1,3
laney,3,0,3
lang,12,23,35
lange,1,0,1
language,8,25,33
languages,6,2,8
languish,0,1,1
langweilig,1,0,1
lanka,2,2,4
lankford,1,0,1
lanky,0,1,1
lanna,0,1,1
lanni,0,1,1
lansing,0,2,2
lante,0,1,1
lantern,2,0,2
lanterns,0,3,3
lao,0,1,1
laos,1,0,1
lap,7,6,13
lapar,0,1,1
lape,1,0,1
lapels,0,1,1
lapey,0,1,1
laphroig,0,1,1
laporte,1,0,1
lapped,0,1,1
lappie,2,0,2
lapping,1,0,1
lappy,5,5,10
laps,5,3,8
lapsang,1,0,1
lapse,2,1,3
lapsed,0,1,1
lapses,1,0,1
laptop,76,70,146
laptopper,0,1,1
laptops,4,6,10
lar,3,1,4
lara,1,1,2
lareine,1,0,1
larf,0,1,1
large,17,20,37
largely,2,0,2
larger,1,8,9
largest,1,0,1
largs,0,1,1
lariitran,0,1,1
lark,1,2,3
larnie,1,0,1
larose,1,0,1
larping,0,1,1
larry,3,10,13
lars,2,0,2
larter,0,1,1
larussa,1,0,1
las,12,4,16
lasagna,3,4,7
lasagne,1,1,2
laser,2,2,4
lasers,1,0,1
lashed,0,1,1
lashes,6,6,12
lashing,0,2,2
lashings,0,1,1
lasik,0,1,1
lass,0,1,1
lasses,0,1,1
lassi,2,0,2
lasso,0,1,1
last,769,903,1672
lastday,1,0,1
lasted,11,6,17
lastfm,6,2,8
lastima,0,2,2
lastime,0,1,1
lastly,1,0,1
lastnight,3,4,7
lastnite,1,0,1
lasts,5,9,14
lat,1,0,1
lata,3,4,7
latadidi,1,0,1
latah,0,1,1
latch,1,1,2
latching,0,1,1
late,213,256,469
latee,0,1,1
lateef,1,0,1
lately,57,79,136
lateness,1,0,1
latenightcereal,0,1,1
later,243,307,550
laterr,1,0,1
laterrr,0,1,1
laterrrr,1,0,1
laters,3,7,10
laterss,1,0,1
latersss,0,1,1
laterssssss,0,1,1
laterz,2,0,2
lates,3,0,3
lateser,1,0,1
latest,25,31,56
latetly,0,1,1
latex,2,2,4
latey,0,1,1
lathering,0,1,1
latian,0,1,1
latin,7,6,13
latina,1,0,1
latinamerica,1,0,1
latino,0,3,3
latinoamerica,1,0,1
latitude,1,2,3
latlon,1,0,1
latly,2,0,2
latte,3,5,8
latter,6,5,11
lattes,0,1,1
lattttttttttte,1,0,1
latvia,1,0,1
lau,0,1,1
lauderdale,1,1,2
laudry,0,1,1
lauggghh,1,0,1
laugh,82,106,188
laughable,1,0,1
laughd,1,0,1
laughed,13,21,34
laughin,1,3,4
laughing,34,37,71
laughs,13,10,23
laught,0,3,3
laughter,4,7,11
lauhing,0,1,1
launch,18,27,45
launched,2,3,5
launching,3,2,5
laundromat,1,1,2
laundry,31,27,58
laundy,0,1,1
lauper,1,0,1
laur,1,0,1
laura,11,6,17
lauras,1,1,2
laureen,0,2,2
laurel,1,2,3
lauren,20,9,29
laurence,0,1,1
laurens,1,0,1
laurent,2,2,4
laurenwampole,1,0,1
laurie,5,1,6
laurina,1,0,1
lauriol,1,0,1
lauryn,1,1,2
lausanne,1,0,1
lautner,8,1,9
lautnerrrr,1,0,1
lauxx,0,1,1
lav,1,1,2
lava,1,1,2
lavalanche,1,0,1
lavalu,0,1,1
lavatory,0,1,1
lavender,2,0,2
lavigne,2,0,2
lavingne,0,1,1
lavish,1,0,1
lavo,1,0,1
lavonda,0,1,1
law,37,28,65
lawaaaaaaaaaaaaaaaaa,0,1,1
lawan,0,1,1
lawd,0,3,3
lawgurl,1,0,1
lawks,0,1,1
lawl,4,2,6
lawlllllle,1,0,1
lawlz,1,0,1
lawn,9,9,18
lawnmower,0,1,1
lawnmowing,0,1,1
lawns,0,2,2
lawrence,2,3,5
laws,4,9,13
lawsuit,0,1,1
lawwy,0,1,1
lawyer,4,3,7
lawyers,1,1,2
lawys,0,1,1
lax,4,2,6
laxed,1,0,1
laxing,1,0,1
laxpaperboys,1,0,1
lay,19,20,39
laybuy,1,0,1
layby,1,0,1
layday,1,0,1
laydown,0,1,1
laydying,0,1,1
layed,2,1,3
layer,5,3,8
layers,3,1,4
layin,1,1,2
laying,14,9,23
layingg,1,0,1
laylael,2,0,2
layne,0,1,1
layoff,2,1,3
layoffs,0,1,1
layout,14,18,32
layouts,1,0,1
lays,3,2,5
laytta,0,1,1
laz,2,0,2
lazara,0,1,1
lazeeeeeeeeeee,1,0,1
lazily,1,0,1
laziness,1,3,4
lazy,35,67,102
lazybum,0,1,1
lazyness,1,1,2
lazyweb,3,0,3
lazzara,2,0,2
lazzzy,1,0,1
lazzzzyyyy,1,0,1
lb,4,11,15
lbc,1,1,2
lbj,0,1,1
lbs,16,9,25
lbt,0,1,1
lc,3,1,4
lcd,0,4,4
lcds,0,1,1
lcrew,2,0,2
lcwiabd,0,1,1
ld,0,2,2
ldb,1,0,1
ldkgkjgldjfgdg,0,1,1
ldn,3,1,4
le,16,21,37
lea,2,4,6
lead,20,14,34
leader,6,8,14
leaders,1,0,1
leadership,7,3,10
leading,5,9,14
leads,3,8,11
leaf,2,3,5
leaflet,1,0,1
leafs,1,4,5
leafy,1,0,1
league,9,11,20
leagues,0,1,1
leah,5,3,8
leahs,0,1,1
leak,10,6,16
leaked,4,6,10
leakin,1,0,1
leaking,3,3,6
leaks,2,1,3
leaky,1,1,2
lean,2,8,10
leanin,0,1,1
leaning,4,3,7
leann,1,0,1
leap,2,1,3
leapfrog,1,0,1
lear,2,0,2
learing,0,1,1
learn,79,67,146
learned,22,41,63
learnedon,1,0,1
learner,1,1,2
learnin,1,0,1
learning,28,47,75
learnjapanesepod,1,0,1
learns,1,0,1
learnt,6,10,16
learntagalognow,1,0,1
lease,4,8,12
leash,1,2,3
least,219,382,601
leathal,1,0,1
leather,6,8,14
leatherette,0,1,1
leats,0,1,1
leauge,1,1,2
leav,1,0,1
leave,212,220,432
leavee,1,0,1
leaveeeee,0,1,1
leavein,1,0,1
leavel,0,1,1
leaves,22,16,38
leavin,5,1,6
leaving,114,81,195
leavinqq,0,1,1
leavitt,0,1,1
leavn,1,1,2
leawood,1,0,1
lebanese,1,2,3
lebih,2,2,4
lebouf,1,0,1
lebowski,0,2,2
lebron,14,8,22
lebs,0,1,1
leche,0,1,1
leciester,0,1,1
lectors,1,0,1
lecture,3,2,5
lecturers,1,0,1
lectures,3,4,7
led,3,6,9
leddy,1,0,1
ledge,4,0,4
ledger,1,0,1
ledges,0,1,1
ledi,0,1,1
lee,7,23,30
leeanna,1,0,1
leechee,1,0,1
leeches,1,0,1
leeds,7,6,13
leeee,1,0,1
leeeeaaaave,0,1,1
leeenta,0,1,1
leeks,2,0,2
leela,2,0,2
leemur,0,1,1
leens,0,1,1
leepunx,1,0,1
leesan,1,0,1
leesh,3,0,3
leesha,1,0,1
leevi,1,0,1
leezle,1,0,1
leff,1,0,1
leffe,1,1,2
left,268,301,569
lefthanded,0,1,1
lefties,1,0,1
leftists,1,1,2
leftover,1,2,3
leftovers,3,2,5
leftrightleft,0,1,1
leftt,1,0,1
lefty,3,1,4
leg,37,19,56
legaal,1,0,1
legacy,0,5,5
legal,15,13,28
legalese,0,1,1
legality,0,1,1
legalize,0,1,1
legalized,0,1,1
legally,6,7,13
legend,11,9,20
legendary,4,5,9
legends,1,1,2
legged,2,0,2
leggings,0,1,1
legio,1,0,1
legislation,1,0,1
legit,11,8,19
legitimate,0,1,1
legitimately,1,0,1
legitimized,1,0,1
leglis,0,1,1
legnth,1,0,1
lego,5,3,8
legoland,0,1,1
legos,3,2,5
legs,33,27,60
legumes,1,0,1
legwear,1,0,1
leh,3,1,4
lehz,0,2,2
lei,2,2,4
leia,1,1,2
leiann,0,1,1
leicester,0,3,3
leider,1,0,1
leif,1,0,1
leigh,0,3,3
leighton,3,1,4
leila,3,1,4
leinster,3,0,3
leis,1,0,1
leisure,0,4,4
leisurely,0,3,3
leite,0,1,1
lek,0,1,1
leland,1,0,1
lelong,0,1,1
lem,0,2,2
lembrar,1,0,1
leme,0,1,1
lemme,12,23,35
lemmings,0,1,1
lemon,10,15,25
lemonade,6,5,11
lemonheads,0,1,1
lemons,1,3,4
lemony,1,0,1
lemurs,1,0,1
len,0,2,2
lena,3,1,4
lenchen,1,0,1
lend,5,5,10
lending,2,1,3
lendo,1,0,1
lenght,0,1,1
lenghth,1,0,1
length,8,7,15
lengthen,1,0,1
lengths,0,1,1
lengthy,2,0,2
lennon,2,1,3
lenny,0,3,3
leno,8,3,11
lenovo,1,0,1
lenox,0,1,1
lens,9,7,16
lensbaby,0,1,1
lenses,1,3,4
lent,2,0,2
lentils,0,1,1
leo,4,4,8
leon,6,8,14
leonard,1,2,3
leonardo,1,0,1
leonas,1,0,1
leonidas,1,0,1
leonnard,1,0,1
leons,1,0,1
leopard,4,1,5
leoplurodon,0,1,1
leos,0,3,3
leotard,2,0,2
lepaking,1,0,1
leppard,2,2,4
leprechaun,2,0,2
ler,2,0,2
lermas,1,0,1
lervz,0,1,1
les,2,4,6
lesbian,11,5,16
lesbians,4,2,6
lesbo,0,2,2
lesbos,0,1,1
leslerrrs,0,1,1
lesley,0,2,2
leslie,5,4,9
lespresso,0,1,1
less,116,103,219
lesse,0,1,1
lessen,1,0,1
lesser,4,1,5
lesson,27,28,55
lessons,19,11,30
lest,1,1,2
let,493,670,1163
letang,0,1,1
letdown,3,3,6
lethal,1,1,2
lethargic,1,0,1
lethes,1,0,1
lethtweetup,1,0,1
leti,0,1,1
leting,1,0,1
lets,93,86,179
letsgetthis,0,1,1
letsgetthisorg,1,0,1
letsmakeamess,1,0,1
letsmakeastartupbycopyinsomeyanks,0,1,1
letta,1,0,1
letter,13,19,32
lettergirl,1,0,1
lettering,0,1,1
letterman,0,4,4
letters,5,6,11
lettersnshit,0,1,1
lettin,2,2,4
letting,32,47,79
lettuce,0,1,1
letwellshavespotifybackonhercomputer,1,0,1
leuk,0,1,1
leuke,1,1,2
leukemia,0,1,1
leusden,1,0,1
level,23,28,51
leveled,1,0,1
leveling,1,0,1
levels,10,15,25
lever,0,1,1
leverage,2,1,3
levi,2,2,4
leviathan,1,0,1
levitt,1,0,1
levy,1,0,1
levywedding,1,1,2
lewd,0,1,1
lewdy,0,1,1
lewe,1,0,1
lewin,1,0,1
lewis,7,0,7
lex,7,2,9
lexi,0,3,3
lexie,0,2,2
lexington,2,0,2
leysh,1,0,1
leze,0,1,1
lezzies,0,1,1
lfc,0,1,1
lfg,1,0,1
lfh,0,1,1
lfie,0,1,1
lfkm,1,0,1
lfylady,1,0,1
lg,6,12,18
lghtwt,1,0,1
lgv,0,1,1
lh,1,1,2
lhen,1,0,1
lho,1,1,2
li,4,6,10
liam,3,5,8
lian,1,0,1
liang,0,1,1
lianglin,1,0,1
liao,2,0,2
liaoz,0,2,2
liar,3,8,11
liars,5,3,8
liason,0,1,1
liat,2,2,4
lib,1,4,5
libans,0,1,1
libby,1,0,1
liberal,4,2,6
liberalism,1,0,1
liberals,0,1,1
liberate,0,1,1
liberating,0,1,1
liberation,0,2,2
libertarian,1,1,2
liberties,0,1,1
libertines,2,0,2
liberty,4,3,7
libido,0,1,1
libra,1,0,1
librarian,0,3,3
librarians,1,1,2
library,29,21,50
libras,0,1,1
libre,1,1,2
librorum,0,1,1
libs,0,1,1
liburan,0,1,1
libya,0,1,1
licd,1,0,1
licence,2,2,4
license,12,16,28
licensed,1,1,2
licenses,1,1,2
licensing,1,0,1
licesence,1,0,1
liciouz,0,1,1
licitations,1,0,1
lick,7,4,11
licked,0,1,1
licker,1,0,1
licking,2,3,5
licks,1,2,3
licuria,0,1,1
lid,1,2,3
liddow,0,2,2
lidell,0,1,1
lidge,1,0,1
lids,1,1,2
lie,32,30,62
liebe,1,2,3
liechtenstein,1,0,1
lied,5,8,13
lief,0,1,1
liege,0,1,1
liek,3,3,6
lies,9,16,25
liesboystell,4,0,4
liesgirlstell,7,0,7
liesrapperstell,1,0,1
liesssss,1,0,1
lieu,1,0,1
lieutenant,0,1,1
liezje,1,0,1
lif,1,0,1
life,435,368,803
lifeboar,0,1,1
lifee,1,1,2
lifeeee,2,0,2
lifegaurd,1,0,1
lifehacker,1,0,1
lifehouse,1,2,3
lifeisgood,0,1,1
lifeline,0,1,1
lifelong,0,2,2
lifes,5,6,11
lifesaclimb,1,0,1
lifesaver,0,2,2
lifespan,1,0,1
lifestory,0,1,1
lifestyle,0,7,7
lifestyles,1,0,1
lifeteen,1,0,1
lifetime,8,6,14
lifey,1,0,1
lift,10,5,15
lifted,5,1,6
liftime,1,0,1
lifting,2,4,6
lifts,1,1,2
lig,0,1,1
ligging,1,0,1
light,50,46,96
lightbulb,0,1,1
lightbulbs,0,1,1
lighten,1,3,4
lightening,1,6,7
lighter,6,9,15
lighters,1,1,2
lighthouse,1,0,1
lighting,5,5,10
lightings,0,1,1
lightning,14,16,30
lightroom,1,1,2
lights,14,21,35
lightsaber,0,1,1
lightsabers,0,1,1
lightskin,0,1,1
lightweight,1,2,3
lightweights,1,0,1
lightword,1,0,1
liiifffeee,1,0,1
liiiife,0,1,1
liiiiiiiife,1,0,1
liike,0,1,1
liikod,0,1,1
liitle,1,0,1
liiz,1,0,1
lija,0,1,1
lije,1,0,1
lik,2,2,4
lika,1,0,1
like,2375,3163,5538
likeable,0,1,1
liked,78,138,216
likee,0,2,2
likejuly,0,1,1
likely,27,39,66
likemind,1,0,1
likeminded,0,1,1
likened,0,1,1
liker,0,1,1
likes,45,52,97
likewise,2,9,11
likey,4,8,12
likin,3,2,5
liking,10,24,34
likke,1,0,1
likkkkkee,0,1,1
likkle,0,1,1
lil,77,87,164
lilac,1,1,2
lilblu,0,1,1
lild,1,0,1
lile,1,0,1
lili,0,1,1
lilies,1,0,1
lill,5,0,5
lillies,0,2,2
lillooet,0,1,1
lilly,7,1,8
lillywhite,1,0,1
lilnew,1,0,1
lilo,1,0,1
lily,10,10,20
lilyalicex,1,0,1
lilys,0,1,1
lilywhite,1,0,1
lim,3,0,3
limaaaaa,0,1,1
limb,2,0,2
limboob,0,1,1
lime,6,5,11
limeade,0,1,1
limelight,1,0,1
limewire,1,0,1
limewiree,0,1,1
limey,0,1,1
limeys,0,1,1
limit,33,33,66
limitation,0,1,1
limitaw,0,1,1
limited,7,13,20
limiting,0,3,3
limitless,1,0,1
limits,5,5,10
limmited,1,0,1
limo,0,4,4
limonade,0,1,1
limp,3,1,4
limping,1,3,4
lin,1,3,4
lina,2,0,2
lincoln,4,2,6
lincon,1,0,1
linda,4,7,11
lindarh,1,0,1
linden,0,1,1
linderbug,0,1,1
lindo,0,2,2
lindos,0,1,1
lindsay,7,3,10
lindsays,1,0,1
lindsea,0,1,1
lindsey,0,2,2
lindsley,1,0,1
lindze,0,1,1
line,89,101,190
linea,0,1,1
linebackers,0,1,1
lined,3,1,4
linely,2,0,2
liner,2,3,5
liners,0,1,1
lines,26,25,51
linesvines,1,0,1
linesvinesandtryingtimes,1,0,1
linesvinestryingtimes,1,0,1
lineup,2,2,4
ling,0,3,3
lingaw,0,1,1
lingerie,1,0,1
lingo,1,4,5
lingonberry,1,0,1
lingual,1,0,1
linguini,0,1,1
linguistics,2,0,2
linguists,0,1,1
lining,2,6,8
link,152,235,387
linkages,1,0,1
linked,6,9,15
linkedin,3,4,7
linkies,0,1,1
linkin,2,1,3
linking,2,4,6
links,24,41,65
linky,1,1,2
linnes,0,1,1
linproducts,1,0,1
lint,2,1,3
linus,2,1,3
linux,12,14,26
linuxoutlaws,2,1,3
lion,4,9,13
lioncub,1,0,1
lionel,1,1,2
lioness,3,0,3
lions,7,4,11
lip,11,9,20
lipgloss,0,1,1
lipo,0,1,1
lips,14,13,27
lipstick,3,4,7
lipsticks,0,1,1
liqueur,1,1,2
liquid,7,6,13
liquidated,1,1,2
liquids,1,1,2
liquidwings,1,0,1
liquor,5,4,9
lirterally,1,0,1
lisa,8,12,20
lisaaaaaa,0,1,1
lisbon,0,1,1
liscence,0,1,1
liscene,1,0,1
lise,0,2,2
lisence,0,1,1
lisetening,0,1,1
lisetning,1,0,1
lish,1,1,2
lishas,0,1,1
lisitening,1,0,1
lissssssssssssey,1,0,1
list,104,157,261
listed,7,11,18
listen,112,134,246
listened,24,24,48
listener,1,3,4
listeners,1,6,7
listenin,8,3,11
listening,137,98,235
listeningggg,0,1,1
listeningto,5,0,5
listeninq,0,1,1
listenint,1,0,1
listeninto,1,0,1
listens,3,2,5
lister,0,4,4
listing,4,2,6
listings,3,2,5
listning,1,0,1
lists,8,4,12
lit,7,11,18
lite,3,2,5
literacy,0,4,4
literal,3,1,4
literally,18,22,40
literary,2,1,3
literature,4,1,5
literotica,1,0,1
lithgow,0,1,1
lithuania,0,1,1
lititz,0,1,1
litle,3,0,3
litlle,1,0,1
litres,0,1,1
litt,0,1,1
litte,2,0,2
litter,1,1,2
litterally,1,0,1
littered,0,1,1
little,386,517,903
littlebigplanet,1,0,1
littleboxofevil,1,0,1
littlekuribohygoassoundtrackalbum,1,0,1
littlemiss,1,0,1
littlest,1,1,2
litto,1,0,1
litttle,1,0,1
littttle,0,2,2
liv,3,1,4
liva,0,1,1
live,285,409,694
liveatleeds,1,0,1
liveblog,0,1,1
livechat,2,0,2
lived,35,41,76
liveee,1,0,1
livejournal,2,4,6
livelocal,0,2,2
lively,1,0,1
livemix,1,0,1
liver,4,1,5
liverpool,7,8,15
lives,37,39,76
livest,1,0,1
livetweeting,1,0,1
livevault,0,1,1
livin,3,5,8
living,63,66,129
livingrooms,0,1,1
livingsocial,1,0,1
livingston,1,1,2
livingthedream,1,0,1
livs,1,0,1
livvy,1,0,1
liz,10,8,18
lizano,0,1,1
lizard,0,2,2
lizz,1,0,1
lizzard,0,1,1
lizzie,3,2,5
lizzischerf,0,1,1
lizzy,4,0,4
lj,11,8,19
ljh,0,1,1
ljubim,1,0,1
lk,4,3,7
lke,1,0,1
lkfjd,1,0,1
lking,0,1,1
lkld,1,0,1
ll,1229,2028,3257
llama,6,1,7
llamas,1,1,2
lle,1,0,1
llego,1,0,1
llevo,1,0,1
lleyton,1,0,1
llive,0,1,1
lll,3,0,3
lllllllll,1,0,1
llo,0,1,1
llol,0,1,1
llorar,1,0,1
lloyd,1,1,2
lloyds,1,2,3
lloydyyyyyyyyyyy,0,1,1
lls,5,7,12
lm,2,1,3
lma,1,0,1
lmaaao,1,0,1
lmaaaooo,0,1,1
lmaaaooooo,1,0,1
lmao,164,241,405
lmaoi,0,1,1
lmaolmaolmao,0,1,1
lmaoo,12,8,20
lmaooo,1,5,6
lmaoooo,1,2,3
lmaooooo,0,1,1
lmaoooooo,1,1,2
lmaooooooo,1,1,2
lmaoooooooo,0,1,1
lmaoooooooooo,0,1,1
lmbao,0,1,1
lmbo,2,1,3
lmfao,45,39,84
lmfaoo,3,3,6
lmfaooo,0,2,2
lmfaoooo,0,3,3
lmfaooooooo,0,1,1
lmfaoooooooooooooooo,0,1,1
lmhr,0,1,1
lmk,0,6,6
lml,1,1,2
lmqdat,1,0,1
lmt,1,0,1
ln,1,1,2
lnd,0,1,1
lndnsky,1,0,1
lng,0,7,7
